"Niveaux_des_prix";"Qualite_du_service_client";"Qualite_garantie";"Satisfaction";"Resume";"Plus";"Moins"
"Assez bonne";"Mauvais";"Assez mauvais";"Mauvais";"Quand vous avez a faire à AG2R qui a le monopole dans votre branche d'activité et qu'il vous doit un complément de salaire suite à un arrêt maladie, en toute conformité aux accords de branche, il recherche le document manquant, expédié plusieurs fois pour ne pas procéder au règlement, ils vous font attendre jusqu'à 1 an. C'est vraiment désolant pour une compagnie qui n'arrive pas à assumer, mais qui encaisse les cotisations sans aucun retard.";"Garanties correctes";"Le miroir aux alouettes."
"Très bonne";"Très bonne";"Très bonne";"Très bonne";"Assuré chez Smatis depuis peu, je suis très satisfait du service. Les prestations et le tarif sont bons.";"Service client disponible et à l'écoute. Les conseillers ont pris le temps de m'expliquer les différentes garanties et d'écouter mes besoins.";"Rien à signaler pour le moment"
"Assez bonne";"Assez bonne";"Assez bonne";"Assez bonne";"Je ne renouvellerai pas cette assurance ce pour l année prochaine  trop déçues leurs prises en charges ou leur tiers payant ne sont pas efficaces puisqu ils faut les rappeler systématique pour reclamations";"Il n t'en as pas";"Il y en as beaucoup trop"
"Assez bonne";"Assez mauvais";"Assez bonne";"Assez bonne";"bonjour bonne mutuelle mais, pour les joindre le 0235744684 impossible je trouve cela dommage. car j aurai voulu savoir combien m aurait couter la mutuelle avec mon fils de 15 ans avec mon mari .";"le prix";"injoignable"
"Assez bonne";"Mauvais";"Assez mauvais";"Mauvais";"Rente invalidité mensuelle
Bonjour,
Je viens de recevoir la révision de ma rente mensuel d'invalidité versée par humanis.

Ma rente passe de 254,70 à 112 euros mensuelle et cela sans changement de mes ressources d'une année sur l'autre et cela sans explications.

De plus toute réclamation ou autre transmis à Humanis fait l'objet d'un traitement anormalement long.

Que faire ?";"Que des ennuis.
Je ne recommande pas Humanis.";"Délai anormalement.
Calcul farfelu d'une Année sur l'autre."
"Assez bonne";"Mauvais";"Mauvais";"Mauvais";"MAISON A EVITER";"aucun";"HYPOCRITE POUR TOUT
COMMUNICATION ZERO: ESPACE, MAIL OU TEL
assurznce qu'ils feront tout 
pour vous rembourser le minimum.
si vous oubliez un devis et passez la carte vitale c'est fini pour vous aucun remboursement.
conditions contractuelles redigées de facon a vous induire en erreur
vouv vous ferrez avoir a tout les coups 
communication vraiment antipathique, peut etre pas sur la forme (politesse) mais sur le fond: aucun autre contact possible que les gentils standardistes qui ne peuvent rien pour vous"
"Assez bonne";"Mauvais";"Assez mauvais";"Mauvais";"pas sérieux";"rien";"j'ai contacté mal santé pour un remboursement de lunettes , j'avais refait les miennes il y a 8 mois ; mais ayant subi une opération des paupières , celle ci a entrainé une modification de la vision. j'ai donc contacté les services de la maaf qui m'a indiqué que je serai remboursé .je fais donc faire mes lunettes mais la maaf ne veut pas me rembourser en dépit de la réponse qui m'avait été fournie par le conseiller ; j'ai donc envoyé un mail de réclamation et la maaf n'a même pas eu la politesse de me répondre ...... trop cher pour l'efficacité en depit de leur slogan"
"Assez bonne";"Mauvais";"Assez mauvais";"Mauvais";"Comme nombre de mutuelles, PROBTP a bien changé. Les tarifs proposés sont certes plus modérés que ceux de certains concurrents, mais les garanties réelles ne sont pas à la hauteur des prétentions de cet assureur et relèvent plutôt du domaine des promesses en vent coulis. Tout va très...tant qu'on a besoin de rien. Dans le cas contraire, les choses se dégradent à vitesse grand V, contrairement aux remboursements qui eux adoptent le mode lent et tortueux.";"aucun";"Les travers relevés chez d'autres mutuelles: ne répond pas aux mails, attente interminable au téléphone, ne pratique pas le tiers payant, N' est (du moins dans mon cas) conventionné avec aucun praticien (quelle que soit la spécialité) de mon lieu de résidence. Cela fait tout de même beaucoup. Mais est-mieux ailleurs?"
"Assez mauvais";"Assez mauvais";"Assez bonne";"Assez mauvais";"Je trouve inadmissible de faire trainer les choses pour nous faire parvenir rapidement les décomptes de remboursements car comme tout le monde nous avons besoin de notre argent nous ne travaillons pas pour la gloire mais pour vivre";"tout ce qui concerne les petits remboursement cela va vite par contre quant il s'agit de remboursements important il faut attendre";"Je demande depuis plusieurs  années que l'ont me fasse parvenir mes decomptes de remboursement rapidement ayant une autre mutuelle qui complète celle-ci je parle à un mur nous sommes considérés comme des pions"
"Mauvais";"Assez mauvais";"Mauvais";"Mauvais";"nul nul je ne recommande pas cette assurance . chere pour les prèstations et je n'ai toujours pas reçu ma carte de tières payant alors que je l'ai demandé trois fois ras le bol ... je vais finir par faire opposition sur mon compte 71euros par mois comme meme ... je ne renouvellerais pas ....";"aucun";"touts"
"Mauvais";"Mauvais";"Mauvais";"Mauvais";"En février 2016 j'ai été contacté en premier pour assurance animal, puis c'est devenu du Harcèlement, j'ai demandé un devis (simplement pour une mutuelle) en informant que ma situation professionnelle n'était pas stable, la réponse pas de problème vous avez jusqu'en décembre 2016 pour réfléchir, depuis je suis à la retraite (700 €) par mois j'ai envoyé un courrier AR demandant la résiliation car j'ai validé un devis, je n'ai pas d'échéancier, il ne veule rien savoir sachant qu'il ne pourront me prendre en charge car il y a une erreur sur ma date de naissance, de plus ils veulent pas me résilier ma mutuelle";"Aucun";"Harcèlement, impossible de les contacter, plusieurs personnes gèrent vos dossiers c'est pénible"
"Assez mauvais";"Bonne";"Assez mauvais";"Assez bonne";"Une assurance pratique et efficace, mais qui ne couvre pas toutes les situations";"Un service clientèle assez satisfaisant dans l'ensemble avec un personnel à l'écoute";"Des prix un peu trop importants pour certains services."
"Mauvais";"Mauvais";"Assez bonne";"Mauvais";"J AI ENVOYE UN RECOMENDE LE 10 OCTOBRE 2016 AVEC ACCUSE DE RECEPTION ILS L ONT RECU MAIS JE N AI TOUJOURS PAS DE REPONSE";"J AI 80 ANS CA ME FAIT DU SOUCI JE SUIS TRES DECUE D EUX APRES DES COUPS DE FILS SANS ARRET";"J AI DU BLOQUER MON COMPTE BANCAIRE CAR IL CONTINUE A ME DEBITER LA SOMMME"
"Assez bonne";"Mauvais";"Assez bonne";"Mauvais";"Compagnie très difficile à joindre au téléphone, je n'ai jamais était satisfaite de leur service";"Les garanties étaient correctes étant donné le prix";"Très mauvais service client, je ne recommande pas cette compagnie"
"Mauvais";"Mauvais";"Mauvais";"Mauvais";"Je suis très très très déçue de la mgen section du nord et je  ne la recommande pas .";"ABSOLUMENT RIEN DE POSITIF .
Pourquoi  l'avoir choisi ? En tant que nouveau  fonctionnaire , j'ai opté pour la mutuelle de l'Education nationale en pensant y trouver des  avantages .";"La mgen n'a pas fait preuve de solidarité et d'aide quand j'en ai eu besoin   à la fin de mon contrat . J 'ai résilié mon contrat mais je  dois payer encore. C'est dans le besoin qu'on reconnait  une bonne mutuelle : maintenant je sais ."
"Assez bonne";"Mauvais";"Assez mauvais";"Assez mauvais";"7assur des mureaux, il vous promette plein de choses, une prise en charge rapide, une écoute de qualité et lors du premier sinistre, l'attitude change, il essaie de se dédouaner, il manque de sérieux et de responsabilité.";"Accueil sympathique!";"Ils sont capable de faire un relevé d'information mensonger"
"Mauvais";"Assez mauvais";"Assez bonne";"Mauvais";"en attente d une reponse concernant cette augmentation sans aucun avis avant de recevoir l echeancier";"prix atractif au debut du contrat";"prix augmenter de 100pour100 apres 2 mois"
"Assez bonne";"Assez bonne";"Assez bonne";"Assez bonne";"ils sont réactifs et la conseillère qui s'occupe de moi connait son métier. On m'a proposé des contrats et services adaptés à mon activité et à mes besoins.";"la disponibilité de mon contact et les conseils adaptés.";"1 seule agence"
"Bonne";"Très bonne";"Très bonne";"Très bonne";"Conseils pertinents, réactifs, accompagnement de qualité, personnel qualifié, accueil irréprochable,";"les garanties, le service courtage, les conseillers, la diversité des services notamment pour les pro";"une seule agence"
"Assez mauvais";"Bonne";"Assez mauvais";"Mauvais";"Fut un temps, Abela était le meilleur à tous les points de vue. Aujourd'hui, vous avez intérêt à bien lire leur contrat.  Il faut savoir qu’il est un courtier régit par la loi l901… (sans commentaire), constaterez que vous êtes dans un contrat-groupe et que de ce fait, d’une part, vous ne pouvez résilier en cas d'augmentation dans le courant de l'année et donc échappez au bénéfice de la loi Chatel et d’autre part, les ""avenants"" en cours d'année ne requièrent pas votre consentement... Vous y lirez aussi que vous pouvez être augmenté 2 fois dans l'année (à titre différents) sans que vous ayez votre mot à dire. Conclusion, surveillez bien la date d'échéance si vous souhaitez les quitter.";"La qualité du service clients, les remboursements se font normalement.";"1° Rapport cotisations/couvertures.Très nette augmentation des cotisations et forte diminution des couvertures et du champ d'application de celles-ci. 
2° Sa position de courtier et du contrat-groupe qu'il propose empêche le bénéfice de la loi Chatel et le dispense de vous demander votre avis lorsqu'il fait des avenants.
3° Un contrat bcp trop ouvert aux augmentations (2) sans possibilité de partir en cours d'année
4° Le fait qu'il soit régit par la loi 1901 et donc échappe à certaines obligations bilantielles et fiscales. 
5° Enfin, il se comporte comme un assureur et non comme un courtier. Si vous souhaitez partir, il ne reviendra pas vers vous, même si le ratio cotisations/dépenses de votre compte est créditeur."
"Très bonne";"Très bonne";"Bonne";"Très bonne";"ABELA (assurance trial) merci encor pour ne pas m'avoir fait comme FMA
vous ne m'avez pas coulée quand les difficulté étai la merci encor.
le jour ou je reprend le trial j'aimerai bien le faire avec vous.
VOUS PILOTES,MOTARD,ETC CONSULTER LES IL SONT POUR MOI LES MEILLEURS.";"très humain   MERCI";"il y en a pas"
"Très bonne";"Très bonne";"Assez bonne";"Très bonne";"Bien adapté à la demande client - Bien adapté à la demande client - Bien adapté à la demande client -
 Bien adapté à la demande client - (pour le robot qui traite le commentaire)";"Dans le TOP 10 des comparateurs";"RAS"
"Assez bonne";"Assez bonne";"Assez bonne";"Assez bonne";"très déçue suite à un avenant à mon contrat qui me coûte 20 € de plus pour une erreur de 1 mois concernant la date de l obtention de mon permis de conduire lors de la demande d un devis.20€ de plus c'est vraiment chère payé quand on a 52 ans et plus de 34 ans de permis, et 50% de Bonus; je ne comprends vraiment pas votre démarche . Je comptais basculer toutes mes assurances chez vous, mais là, je suis refroidie !!!
Bonne journée";"rien";"ce que j ai déjà noté"
"Bonne";"Assez bonne";"Assez bonne";"Assez bonne";"Ancien contrat d assurance résilié pour non paiement de la prime d assurance";"Rapidité au niveau du contact téléphonique. Des interlocuteurs compétents et a l écoute de nos choix.";"Rien à signaler pour le moment"
"Bonne";"Bonne";"Assez mauvais";"Assez bonne";"Pour l'instant aucun commentaire je suis trop nouveau pour apprécier ou non mon assurance.";" Excellent service clientéle, enchanté par la patience et l'humeur de celui-ci.";"Le contrat me semble trop rigide, je n'ai pas pu finir de le lire tellement qu'il y a d'exclusions. J'espère qu'en cas de sinistre je n'aurai pas la même impression."
"Assez bonne";"Assez bonne";"Assez bonne";"Assez bonne";"Je viens de souscrire un contrat qui prendra effet qu'en début décembre. Je peux dire que j'ai été très bien reçu par le conseiller référent. Il y a rien à dire.";"La disponibilité et l'explication très claire.";"Néant"
"Assez bonne";"Mauvais";"Assez mauvais";"Mauvais";"Une organisation plus que douteuse. Ils vous appâtent avec des tarifs attrayants puis vous radient sans raison!! Ils n'hésitent pas à utiliser le mensonge pour se justifier. A éviter!!";"Peut-être le prix";"Tout le reste"
"Très bonne";"Très bonne";"Très bonne";"Très bonne";"j'ai eu durant 2 jours madame x , je tiens à saluer au passage son professionnalisme et la rapidité de compréhension de mes besoins ( assurance auto et habitation) mais aussi la rapidité d'envoi des devis conforme à mes attentes et à notre échange téléphonique.
Il ressort de cette compagnie un grand sérieux et une réelle efficacité.
Je n'ai pour ma part pas fait suite aux devis que me proposait A comme assuré car ayant mon contacté mon assureur pour lui faire part de mon désir de partir pour chez A comme assuré pour des raisons de budget beaucoup plus intéressants mon assureur m'a expliqué que ne souhaitant pas perdre un client de plusieurs années  il décidait de s'aligner sur les devis de A comme assuré .
le personnel que j'ai eu à l'accueil téléphonique durant ces 2 jours à toujours été d'une grande politesse et d'un ton toujours posé et digne d'un accueil téléphonique.";"parfait";"Aucun"
"Très bonne";"Très bonne";"Très bonne";"Très bonne";"J'ai eu en ligne LAURENCE et j'ai été très satisfaite, personne très sympathique, je sais qui demander :-)";"facilement joignable, je recommande sans problème. Conseillers toujours courtois.";"je ne vois rien, je suis satisfaite"
"Assez bonne";"Mauvais";"Mauvais";"Mauvais";"Une assurance, ça sert en cas de probleme. On ne devrait commenter ici que si on a effectivement fait appel à elle.

Dans mon cas, bien sûr ça a a l’air bien a la souscription.
En pratique, dégât des eaux, l’assurance met 3 jours à repondre, puis m’explique qu’elle ne fera rien (même si degats des eaux est bien dans le contrat) et que je n’ai qu’a Me débrouiller avec ce le syndic de l’immeuble.
Quand je dis qu’au minimum toutes les assurances s’arrangent entre elles (la mienne et celle de l’immeuble) pour déterminer qui rembourse, la femme, très indifférente a la limite de l’impolitesse, me dit que non, pas eux, je me debrouille cela ne les concerne pas.
La conversation se finit par 20s de silence quand je dis « donc je paye pour le droit d’etre abandonné le jour ou j’ai un problème ? »... pas de réponse.

Passez votre chemin, dans mon cas ce n’est pas une vraie assurance mais un bout de papier qui me dit que je suis assuré";"Aucun. La facilité à s’inscrire et le prix bas ne comptent pas s’il n’y a pas d’assurance derrière (sinon j’ai plus simple encore, envoyez moi un virement de 50€ seulement sans aucun formulaire et je vous envoie un mail qui vous dit « vous êtes assuré bravo »)";"Est-ce une assurance quand on n’est suivi que quand on paye sans avoir de problème ?"
"Très bonne";"Très bonne";"Très bonne";"Très bonne";"Très facile pour adhérer à l'assurance en ligne facile et très efficace.inutile de se rendre en agence et très pratique.meme le paiement est efficace.il faudrait plus de pub pour cette assurance digne de ce nom.";"Les prix les services assuré";"Rien du tout"
"Très bonne";"Très bonne";"Très bonne";"Très bonne";"Un suivi exemplaire jusqu'à présent, je n'ai jamais vue cela dans d'autres assurances.";"Une conseillère disponible, agréable et qui sais de quoi elle parle. (Merci Clémentine)
Un tarif et une assurance en adéquation avec mon besoin.
Une facilité de souscription.";"Un logo peu accrocheur."
"Bonne";"Bonne";"Assez bonne";"Bonne";"apres une longue recherche je suis parvenu chez Acommeassure pour les tarifs proposes en fonction des garanties choisies le tarif de base etant bas on peut faire son choix sans arriver à des cotisations delirantes comme chez certains autre assureur";"tarifs ;contact avec les conseillers";"je n'en ai pas pour le moment"
"Très bonne";"Très bonne";"Très bonne";"Très bonne";"Ce que j'apprécie particulièrement chez AcommeAssure, c'est le suivi actif de mon conseiller, son aimabilité et les réponses précises et rapides qu'il m'apporte.
Je me sens réellement suivi et je sais qu'un échange régulier est possible, ce qui me rassure.";"Le suivi exemplaire, le tarif très intéressant, la facilité de dialogue et la qualité des réponses apportées.";"Le boîtier vide la batterie, deux fois en 3 mois.."
"Assez bonne";"Bonne";"Bonne";"Bonne";"BIEN                                                                      .";"SERVICE QUALITE                                                      .";"SANS OPINION                                                        ."
"Assez bonne";"Mauvais";"Mauvais";"Mauvais";"Devis et souscription très simples et rapides. Malheureusement, le masque tombe aussi rapidement. Contrat résilié arbitrairement au bout de 10 jours selon des clauses non précisées au départ et avec une désinvolture sans limite. A fuir.";"Facilité de souscription et rapidité pour joindre les correspondants.";"Clauses non précisées entraînant une résiliation arbitraire. Mauvaise foi. Abus de confiance. Relisez bien avant de signer !!!!"
"Assez mauvais";"Assez bonne";"Assez bonne";"Assez bonne";"Service correct avec un délai de traitement long pour les pièces administratives";"Délai de réponse au téléphone rapide avec un conseiller qui traite votre demande
Une personne référente du dossier";"Traitement des pièces jointes pour la souscription du contrat 
Évolution de l'indice tarifaire entre la souscription et la signature"
"Assez bonne";"Assez bonne";"Assez bonne";"Assez bonne";"à fuir  10eu. parceque ma banque a rejeté par erreur";"0+-0";"-0"
"Très bonne";"Très bonne";"Très bonne";"Très bonne";"personnel tres efficace et gentil et prenne le temps d'expliquer rapiditer d'envoi de document et tes patiens  mon interlocuteur youness et super gentil je ne regrette en rien de les avoir contacter";"rapiditer";"aucun"
"Très bonne";"Très bonne";"Très bonne";"Très bonne";"Très bonne opinion générale, excellent rapport qualité prix. Je ne peux néanmoins pas me prononcer sur la qualité de l'intervention et le remboursement en cas de sinistre, n'en ayant pas eu.";"Excellente disponibilité et qualité du service client.
Prix très compétitifs.";"RAS"
"Bonne";"Bonne";"Bonne";"Bonne";"service client competent souscription rapide et envoi des justificatifs facilité";"facilité d'utilisation tout se fait en ligne";"dommage qu'il faille recevoir un lien pour acceder a l'espace personnel un identifiant serait plus simple"
"Mauvais";"Mauvais";"Mauvais";"Mauvais";"Je vois que Acomme assure réponds plus vite au forum qu'à ses clients! Alors je teste: sinistrée depuis 7 jours, on m'a tout d'abord envoyé petre en disant que le changement de mes serrures n'etaient pas prise en charges (assurance habitation, cambriomlage) Finalement en forcant un peu, ""envoyez vos factures"" ce que j'ai fait immédiatement par mail pour partie puisque toutes les serrures ne sont pas encore changées. Apparement ma clé de voiture volée chez moi n'est pas remboursée non plus. Bref, depuis 7 jours consecutifs, mail, appels incessants, personne ne me réponds, je n'ai aucun numéro de sinistre ni preuve de dépôt. Comme disparus dans la nature, société fantome!! Fuyez fuyez fuyez!!";"Aucun";"- injoignable
- service client déplorable"
"Très bonne";"Très bonne";"Bonne";"Bonne";"Bons tarifs pour la première année de souscription, mais grimpe vite la seconde, troisieme..ect...dommage, les bons conducteurs jamais récompensés..";"Prix attractifs";"Les prix grimpent trop les années suivantes"
"Bonne";"Bonne";"Bonne";"Bonne";"Bonjour Je me suis lance dans l'aventure AcommeAssure après avoir eu une bonne expérience Téléphonique avec eux je me suis dit que les assurances en lignes n'étais pas si mal que ça et je les ai donc contacter...";"Assurance la moins cher";"pour le moment pas de moin à dire"
"Mauvais";"Mauvais";"Mauvais";"Mauvais";"Après une tentative d'effraction et malgré une plainte déposée refus d'indemnisation sans motif légitime 
Une assurance qui ... n'assure pas";"Le prix";"Le prix n'inclut uniquement que le justificatif d'assurance car au moindre incident rien n'est prit en charge"
"Bonne";"Mauvais";"Assez bonne";"Mauvais";"Client 276463. Premier contact positif par téléphone le Vendredi 10 Novembre 2017, conseillère aimable et questions très précises, explications convenables, devis conforme au tarif annoncé au téléphone. Documents envoyé le soir même et mail de demande de confirmation envoyé le Lundi 13 Novembre 2017. Réponses de leurs part rapide en deux heures et un autre le soir accusant bonne réception des documents envoyés en pièces jointes et expliquant attendre la confirmation de résiliation de mon ancienne assurance. Appel le lendemain a mon ex assurance qui confirment leurs avoir envoyé la confirmation. Après lecture des avis négatif sur le net je décide de leurs envoyé un email le Mardi 14 avec des demandes plus poussées notamment si se sera les seuls documents demandés. A partir de la tout se complique pas de réponses, relance le Mercredi 15, pas de réponses. Le Jeudi 16 je décide de faire un devis chez un autre assureur par sécurité. Celui ci me propose de meilleures tarifs et comme aucunes réponse de Active Assurance le jeudi soir je décide de me rétracter. Je leur envois un email expliquant ma décision avec un double conforme en pièce jointe de ce que je leurs envois le lendemain en lettre recommandé avec avis de réception. Donc e vendredi 17 envois de tout cela en AR. Réponse le samedi 18 de leurs part s'excusant et expliquant des soucis informatiques et demandant de confirmer ma décision sur la finalisation du contrat. Réponse dans la foulée avec encore en pièces jointes la copie de la lettre, pas de réponse de leurs part, relance le soir même. Le Mardi 21 réponse de leurs part me disant ne pas avoir reçu la lettre AR alors que sur le site de la poste celle ci a été remise le lundi 20 et disant ne pas pouvoir ouvrir la pièce jointe et me demandant de la renvoyé en PDF. Réponse dans la foulée avec encore en pièce jointe la copie de la lettre cette fois ci en PDF. Mardi pas de réponse de leurs part et réception de l'accusé de réception de la poste remis le 20 avec tampon de Active Assurance. Depuis deux autres mail envoyés avec encore les même copie en pièce jointe plus le Scan de l'accusé de réception. Pas de nouvelles depuis hier. Maintenant parlons du numéro surtaxé il est clairement indiqué sur leurs site et ma banque pratique la même chose mais pas a ce tarif exorbitant. 0,80 par minutes ça fais 48 euros de l'heure, c'est moralement et déontologiquement limite a mon sens. Parlons maintenant des frais de rétractation es ce légal? Je ne sais pas trop je vais me renseigner. Pour être tout a fais honnête ils sont en effet indiqué sur le devis initial mais vu que la conseillère du départ insiste lourdement pour avoir le premier règlement en CB on est tenté de ne le lire que après a voir payé vu qu'elle l'envois en direct au téléphone en même temps qu'elle demande le paiement. De plus la encore 60 euros plus 20 euros de frais de dossiers me paraissent limite moralement. Je conseil une extrême vigilance et pour ma part espère être remboursé un jour après ma rétractation dans les 14 jours légaux.";"Prix annoncés, Garanties annoncées, conseillère de départ aimable et précise.";"Tarif du numéro surtaxé, Tarif des frais en cas de rétractation, conseillère de départ très même trop insistante pour obtenir le premier règlement en CB."
"Assez mauvais";"Mauvais";"Mauvais";"Mauvais";"HORRIBLE A FUIR !!!!

Plateforme téléphonique ils ne comprennent pas ce que l'on dit ne répondent pas aux questions !! 
carte verte jamais reçue résilier pour mon deuxième véhicule car après devis et réception des papiers et des 2 mois de cotisations demander ile me redemande 50E et quand je demande un mail avec le détail et l'explication de la somme demandé ils me résilie sur ce véhicule SANS m'en informer c'est moi qui en appelant pour savoir où en est ma carte verte j’apprends cette résiliation !! ils me redemandent 2 mois de coti a payer si je veut reprendre mon assurance chez eux !!!!Je ne peut même plus accédé à mon espace perso je n'en resterait certainement pas là je n'ai jamais reçue mon contrat n'y ma carte verte je saisie donc  l'Autorité de Contrôle Prudentiel et de Résolution aux bonnes fins de recouvrir mes bons droits.";"aucuns";"tout"
