x,y
type,-0.25
tutelle,0.6
tutelle,0.8
turbulent,-0.5
turbulence,-0.4
tunnelisé,-0.25
tumulte,-1
tumulte,-0.5
tumeur,-0.8
tumbling,-0.4
tueurs,-1
tueur,-1
tueur,-0.8
tuer,-0.8
tuer,-0.75
tué,-0.5
tue,-0.75
truquer,-1
truquage des offres,-1
truc,0.6
trouille,-0.25
troubles,-1
troubles,-0.75
troubler,-0.8
troublé,-0.75
trouble,-0.25
troublant,-1
troublant,-1
troublant,-1
troublant,-0.5
trophée,0.25
trop zélé,-0.25
trop zélé,-0.25
trop souvent,-2
trop simplifié,-0.5
trop rapide,-1
trop petit,-0.5
trop payé,-1
trop payé,-0.25
trop long,-1
trop insister,-0.25
trop haut,-1
trop de temps,-1
trop cher,-1
trop cher,-0.5
trop bon,-2
trop,-2
trompeusement,-1
trompeusement,-1
trompeusement,-1
trompeur,-1
trompeur,-1
trompeur,-1
trompeur,-0.75
trompette,1
tromperie,-1
tromperie,-1
tromperie,-0.75
tromper,-1
tromper,-1
tromper,-0.75
tromper,-0.75
tromper,-0.5
tromper,-0.4
trompé,-1
trompé,-1
trompé,-0.8
trompé,-0.75
trompé,-0.75
troll,-0.8
trivialement,-0.4
tristesse,-1
tristesse,-0.5
tristement célèbre,-1
tristement,-1
tristement,-0.5
triste,-1
triste,-1
triste,-0.75
triste,-0.6
triste,-0.5
triste,-0.5
trique,-0.8
triomphe,0.75
triomphant,0.75
triomphalement,1
triomphal,0.8
trio,-1
tricheurs,-0.5
tricheur,-0.75
Tricher,-0.75
triché,-0.5
tribulations,-0.8
trêve,0.6
trésors,1
Trésor,0.75
trépointes,-1
trépignement,-1
trépidant,-0.6
trembler,-0.6
tremblement de terre,-0.5
tremblant,-0.6
tremblant,-0.5
trébucher,-0.6
trébucher,-0.5
trébuché,-0.6
trébuche,-0.5
travestir,-0.75
travesties,-1
traversin,0.25
travaux,-0.25
travaux,0.25
travailleur,1
travailleur,1
travaillé,0.25
travail occupé,-1
travail,-0.4
travail,-0.25
travail,0.25
travail,0.25
traumatisme,-0.75
traumatiser,-1
traumatisé,-1
traumatisant,-1
traumatique,-0.75
trash,-0.5
traqué,-0.8
trapu,-1
transpiration,-0.25
transparent,-0.25
transgressions,-1
transgression,-0.5
transgresser,-0.8
transcendantal,0.6
transcendance,0.6
tranquillité,0.5
tranquille,0.75
tranquille,0.8
tranchant,1
traîtrise,-0.5
traître,-1
traître,-1
traitre,-0.5
traiter,0.25
traitement,-0.25
traite,-0.25
traîne,-0.5
traînard,-0.8
trahit,-0.5
trahisons,-1
trahison,-1
trahison,-0.75
trahir,-0.75
trahi,-1
tragiquement,-1
tragique,-0.75
traditionnel,0.6
traction,1
tracassiers,-0.5
tracas,-1
toxique,-1
toxique,-0.5
toxique,-0.5
toxine,-1
toxicomanes,-1
toxicomane,-1
toutes nos félicitations,0.75
tout-puissant,1
tout neuf,1
tout droit,0.6
tout autour,1
tout,-1
tousser,-0.8
tousser,-0.8
tous,-0.5
tourner au ralenti,-0.25
tournage,-0.6
tourmenter,-1
tourmenter,-0.5
tourbière,-0.5
tour,-0.5
toupet,-1
touffe,-0.25
touché,0.25
totalitarisme,-1
totalitaire,-0.75
torturer,-0.75
torturé,-0.75
torture,-1
tortueux,-1
torsion,-1
torride,-0.5
torrent,-0.4
torpille,-0.25
tordu,-0.25
tordu,-0.25
tordre,-1
topheavy,-0.25
tonner,-0.5
Tomber,-0.5
tomber,-0.25
tombé,-1
tollé,-0.75
tolérer,-0.25
tolérant,0.5
tolérance,0.25
tolérable,0.8
toilette,-0.25
titiller,0.8
titillant,0.8
tirer,-0.5
tiré par les cheveux,-1
tinté,-1
timoré,-0.6
timidité,-0.6
timidité,-0.25
timidement,-0.6
timide,-0.75
timide,-0.6
timide,-0.4
timide,-0.4
tige,-0.8
tiède,-0.25
tic,-0.6
thudding,-0.4
thriller,0.1
thérapeutique,1
thérapeutique,1
thérapeute,-0.25
théorique,0.4
têtu,-0.8
têtu,-0.8
têtu,-0.75
téter,0.25
tetchily,-1
testily,-1
terroriste,-1
terrorisme,-0.75
terroriser,-0.75
terrorisé,-1
terrifié,-1
terrifiant,0.5
terriblement,-0.5
terriblement,-0.5
terriblement,-0.4
terriblement,0.8
terrible,-1
terrible,-0.75
terrain,-1
ternir,-0.8
terne,-0.75
terne,-0.5
terne,-0.5
termite,-0.25
Terminal,-0.25
tergiverser,-0.5
tergiverser,-0.25
ténu,-0.8
ténu,-0.8
tenter,-0.25
tentation,-0.5
tentant,-0.25
tendu,-0.75
tendu,-0.5
tendrement,0.5
tendance,0.4
tendance,0.4
ténacité,0.5
tenace,0.5
temps honoré,1
temps fort,-1
tempérer,-0.5
tempéré,-0.8
tempéraments,-0.4
téméraire,-1
téméraire,-0.8
taupes,-0.4
taule,-1
tâtonner,-0.4
tâtonner,-0.4
tâtonner,-0.25
tardif,-0.5
taper,0.25
tape à l'oeil,0.6
tamisé,-0.4
talonneur,-0.8
tacheté,-0.4
taches,-0.8
tache sur,1
taché,-1
taché,-0.5
tache,-0.75
tache,-0.5
tache,-0.25
sympathique,0.5
symboliquement,0.4
swankiest,0.4
swankier,0.4
svelte,0.6
svastika,-1
suspendre,-0.6
suspects,-0.5
suspect,-0.75
susciter,-0.5
susciter,0.8
survivre à,-0.25
survivant,0.5
survendre,-0.6
survendre,-0.4
surveillance,-0.5
surveillance,-0.4
survécu,0.4
surtaxe,-0.25
surréaliste,0.4
surréagit,-1
surréagit,-1
surpuissant,-0.8
surpuissance,-0.25
surprise,0.6
surpris,-0.6
surprendre,-0.5
surprenant,-0.25
surperformer,-0.25
surperformé,-0.4
surperforme,-0.4
surpasser,-1
surpasser,-0.4
surpasser,-0.4
surpasser,0.5
surpassant,0.4
surnaturel,-0.4
surmonter,0.1
surmonter,0.6
surmonter,0.6
surmené,-1
surligner,0.6
surjouer,-0.25
surhumain,0.5
surfait,-0.25
surévaluation,-1
surestimé,-0.25
surdosage,-0.5
surchauffer,-1
surchauffe,-1
surcharger,-1
surchargé,-0.25
surcharge,-0.5
surbalancé,-0.25
surabondance,-0.5
sur le sujet,1
sur le point,1
sur la crainte,-1
sur hyped,-1
sur de soi,0.8
suprêmement,0.75
suprême,0.5
Supporter,0.75
supplier,-1
supplice,-0.5
supplications,-0.25
supplication,-0.4
superstition,-0.6
superstitieux,-0.5
superstar,0.8
superproduction,0.5
Superman,0.8
supériorité,0.5
supérieur,0.75
superflu,-0.5
superficiellement,-0.25
superficiel,-0.6
superficiel,-0.5
superbement,1
superbement,1
superbe,1
super,0.75
sundae,0.6
sujétion,-0.5
suinter,-0.25
suie,-0.1
suicide,-0.75
suicidaire,-0.75
suggérerait,-1.05
suffocation,-1
suffit,0.5
suffisant,-0.75
suffisant,0.5
suffisant,1
suffisance,1
suffisamment,1
suffire,0.5
sucre,-0.25
sucky,-0.25
sucer,-0.75
suceptible,-0.25
suce,-0.5
succulent,0.5
succomber,-0.6
succomber,-0.5
succinct,0.8
succès,0.5
Succès,0.75
succes,0.6
subvertir,-0.5
subversivement,-0.25
subversion,-0.5
subversif,-0.75
subventions,0.6
subventionner,-0.25
subventionner,-0.25
subventionné,-0.25
subventionne,-0.25
subvention,-0.25
subvention,0.5
substantiellement,0.6
substantiel,0.5
substantiel,0.5
subsister,0.25
subpar,-0.25
submergé,-0.5
submergé,-0.5
sublimement,0.8
sublime,0.5
sublimation,0.1
subjuguer,-0.25
subdivision,-0.25
subalterne,-0.5
subalterne,-0.25
suavement,0.8
suave,0.5
stylisé,0.5
stupidité,-0.75
stupidement,-1
stupidement,-0.75
stupide,-1
stupide,-0.75
stupide,-0.6
stupide,-0.5
stupide,-0.5
stupeur,-0.75
stupéfier,-1
stupéfié,-1
Stupéfiant,0.5
stupéfait,-0.6
stupéfaction,-0.6
stupéfaction,0.8
strip-tease,0.25
strié,-1
stridentement,-0.25
strident,-0.25
strictement,-0.6
strict,-0.6
strict,-0.4
stressant,-1
stressant,-0.5
stress,-0.75
stratégique,0.6
stratège,0.4
strabisme,-0.4
stooges,-0.25
stoner,-0.25
stocké,-0.25
stimuler,0.25
stimuler,0.5
stimulé,0.1
stimule,0.5
stimulant,0.5
stimulant,1
stigmatiser,-1
stigmate,-0.5
stéthoscope,-0.25
stérilité,-0.8
stérile,-0.4
stéréotypiquement,-0.6
stéréotypé,-0.6
stéréotypé,-0.5
stéréotype,-0.75
stellaire,0.5
stellaire,1
statique,-0.25
stars du rock,0.6
stalles,-0.4
stalle,-0.5
staid,-0.25
stagner,-0.8
stagnation,-0.8
stagnant,-0.5
staggers,-0.6
staccato,-0.4
stabulation,-0.4
stable,0.6
stable,1
stabilité,0.6
stabiliser,0.8
squelettes,-0.1
squeletté,-0.5
squatter,-0.6
spurn,-1
sportif,0.6
spores,-0.25
sporadique,-0.5
spoonfed,-0.25
spookily,-0.8
spookiest,-0.8
spookier,-0.8
spontané,0.5
spongieux,-0.25
spongieux,-0.25
spolier,-1
spoliateur,-1
splendide,1
splendeur,0.5
spirituel,0.1
spirituel,0.5
Spews,-0.5
sperme,-0.25
spéculer,-0.25
spéculation,-0.25
spectaculairement,1
spectaculaire,0.8
spectacle,0.4
spécifier,0.25
spécialiser,0.25
spécial,0.8
spasme,-1
spacieux,0.5
spacieux,0.8
spacieux,1
spa,0.4
soutien,0.5
soutenu,0.25
souteneur,-0.6
soustraire,-0.5
souscrire,-0.25
sous-payés,-0.75
sous-estimer,-0.5
sous-estimer,-0.4
sous-estimer,-0.4
sous-dimension,-0.25
sous pression,-0.5
sous par,-1
sous la moyenne,-1
sous la météo,-0.5
sous,-0.25
sourit,0.4
sourire en coin,-0.4
sourire,0.5
sourire,0.75
sourd,-0.5
souple,0.25
souple,0.8
soupir,-0.4
soupçonner,-0.5
soupçonné,-0.6
soumis,-0.5
soumis,-0.4
soulèvement,-0.5
soulèvement,0.5
soulager,0.5
soulager,0.6
soulager,1
soulager,1
soulagé,-0.4
soulagé,1
soulage,1
souiller,-1
souiller,-0.5
souillé,-0.8
souhaitant,0.8
souhaitable,0.75
souhait,0.8
soufre,-0.5
souffrir,-0.75
souffre,-0.75
souffrant,-1
Souffrance,-1
souffle de la fumée,-0.5
soufflé,-0.6
souffert,-1
soucieux,0.5
souches,-1
souche,-1
souche,-0.6
sottises,-0.75
sottement,-0.6
sortie,-0.25
sorta comme,0
sort,-0.25
sordide,-0.6
sordide,-0.5
sorcière,-0.4
sorcier,0.4
sorcellerie,-0.25
sophistiqué,0.75
sophismes,-0.8
sonore,-0.25
sonar,-0.25
somptuosité,0.8
somptueux,0.8
somptueusement,0.6
somptueusement,0.8
somnoler,-0.25
somnolence,-0.25
sommets,0.6
sommet,0.75
somme dérisoire,-0.6
sommaire,-0.4
sombre,-1
sombre,-0.75
sombre,-0.25
solvabilité,0.25
solutions,0.5
Solution,0.5
sollicitude,0.25
solliciter,-0.6
solitude,-0.75
solitaire,-0.75
solitaire,-0.75
solitaire,-0.5
solidité,0.5
solidement,0.8
solide,0.25
solide,0.5
solidarité,0.5
solennel,-0.25
Soleil,0.6
soigneusement,0.25
soigneusement,0.5
soigné,0.25
soigné,0.8
soie,0.6
softhearted,0.8
sociopathe,-1
société,-0.25
socialiste,-0.25
sociable,0.5
sobre,-1
snubs,-1
snobs,-1
snober,-0.5
snobby,-1
snob,-1
snob,-1
snob,-0.5
snob,-0.5
sniffle,-0.6
snicker,-0.8
snarky,-0.6
smolders,-0.25
smog,-0.8
slowwww,-1
slowwww,-1
slouts,-0.25
sloshes,-0.25
slop,-0.8
sloow,-1
slooow,-1
sloooow,-1
sloooooooooooooow,-1
slogs,-0.5
slink,-0.4
slimebag,-1
sleazebag,-1
slashes,-0.4
slammin,1
slabbed,-0.25
skulked,-1
skulk,-1
situation difficile,-0.5
situation critique,-0.75
sismique,-0.4
sirène,-0.25
sinistrement,-1
sinistrement,-1
sinistré,-0.5
sinistre,-1
sinistre,-0.75
sinistre,-0.75
sinistre,-0.75
singularité,-0.5
sincèrement,-1
sincèrement,0.8
sincère,0.75
sincère,1
sincère,1
simulé,-0.8
simpliste,0.4
simplifier,-0.5
simplifier,0.25
simplifier,0.4
simplifié,0.4
simplifie,-1
simplifie,0.4
simplification excessive,-0.5
simple,-0.8
simple,-0.75
simple,0.5
similitude,-0.25
sillily,-1
silencieux,0.25
silencieux,1
silence,-0.5
significatif,0.5
signaler,-1
sifflement,-0.5
sifflé,-0.5
sifflant,-0.5
sieste,0.1
siège,-0.6
si cal,-1
shortchange,-0.25
shitload,-0.8
shithole,-1
shitbags,-1
shitbag,-1
shirker,-1
shimmy,-1
shemale,-1
shat,-0.6
sexy,0.75
sexuellement,0.25
sexe,0.1
sévèrement,-0.6
sévèrement,-0.4
sève,-1
seul,-0.6
seul,-0.25
servitude,0.6
servir soi-même,-0.25
servile,-0.6
servile,-0.4
sérum,-0.4
serré,-0.4
serre,-0.25
serrage,-0.4
serpent,-0.25
sermonner,-0.25
sermon,0.1
serment,0.4
sérénité,0.5
sérénade,0.6
serein,1
serait,-1.05
séquestration,-0.25
septique,-0.4
séparer,-0.6
séparer,-0.25
séparé,-0.6
séparé,-0.5
séparatiste,-0.4
séparation,-0.4
sentimentalité,0.4
sentimental,0.4
sentiment,0.25
sentait,-0.25
sensuel,0.8
sensuel,0.8
sensualité,0.8
sensiblement,0.5
sensible,0.25
sensible,0.75
sensible,0.8
sensibilité,0.8
sensibilisation,-0.25
sensations,0.5
sensationnel,0.5
sensationnaliste,0.6
sensationnalise,-0.25
sénile,-0.5
sélectif,0.4
seigneurie,0.4
séduisant,0.25
séduisant,0.5
séduisant,0.8
séduisant,1
séduire,-1
séduire,-0.25
séduire,0.8
séduction,-0.25
sédition,-0.5
séditieux,-0.25
sédentaire,-0.6
sédatif,-0.6
sécurité,0.8
sécurisé,0.8
sectes,-1
sécrétion,-0.6
secret,-0.5
secousse,-0.5
secousse,-0.5
secouru,0.8
secouer,-1
sear,-0.4
se vanter,-0.25
se tortiller,-0.75
se tordre,-0.8
se tordant,-0.8
se soucier,1
se soucie,1
se solidifier,0.25
se ruiner,-0.75
se rétracter,-0.5
se repentir,-0.4
se réjouit,0.8
se réjouit,1
se ratatiner,-0.6
se précipiter,-1
se plaindre,-0.75
se plaindre,-0.75
se plaindre,-0.5
se pavaner,-0.5
se noie,-0.8
se nicher,0.6
se moquer,-1
se moque,-0.5
se mettre d'accord,0.5
se méprendre,-0.8
se mêler,-0.5
se livrer,0.4
se lamenter,-1
se lamenter,-1
se laisser abattre,-0.5
se heurte,-0.25
se glisser,-0.75
se flétrir,-0.25
se fige,-0.4
se faufiler,-0.5
se faufile,-0.4
se faire plaisir,1
se faire des amis,1
se fâcher,-1
se disputer,-0.5
se détériorer,-0.8
se détendre,-0.4
se désister,-0.8
se dérober,-1
se délecter,0.5
se dégrade,-1
se défier,1
se dandiner,-1
se cramponner,-0.4
se conduire mal,-0.5
se comporte mal,-1
se chamailler,-1
se chamailler,-0.8
se cacher,-0.75
se cache,-0.8
se blottir,-1
se battre,-0.6
scumbag,-1
sculptural,1
scruter,-0.6
scrupules,-1
scrupule,-1
scraggly,-0.8
Scorpion,-0.25
scission,-0.5
scintille,-1
scintille,0.8
scintillant,0.6
scintillant,0.6
scintillait,1
scientifique,0.4
scientifique,0.4
schizophrénie,-0.8
schème,-0.1
sceptiques,-0.6
sceptique,-0.75
sceptique,-0.5
scepticisme,-0.25
scénique,0.8
scélérat,-1
scélérat,-1
scélérat,-1
scandels,-1
scandaliser,-1
scandaleux,-0.8
scandaleux,-0.75
scandaleusement,-1
scandale,-1
scandale,-1
scalpel,-0.25
savoureux,-0.25
savourer,0.8
savourer,1
savonneux,-1
saveur,0.5
savant,0.6
Sauveur,1
sauveteur,0.5
sauvetages,0.8
sauvé,-1
sauvages,-1
sauvagerie,-0.75
sauvage,-1
sauvage,-0.6
sauvage,-0.5
saumâtre,-0.25
sauge,0.6
satisfait,1
satisfait,1
satisfaisant,0.8
satisfaisant,0.8
satisfaisant,1
satisfaire,0.5
satisfaire,1
satisfaction de soi,1
satirique,-0.25
satire,-0.25
satanique,-1
sarriette,0.5
sardoniquement,-1
sardonique,-0.5
sarcastique,-1
sarcastique,-0.5
sarcasme,-0.5
sarcasme,-0.4
saper,-0.75
saper,-0.5
saper,-0.4
sape,-0.5
sans vergogne,-0.4
sans valeur,-1
sans valeur,-1
sans tache,0.4
sans surprise,-0.25
sans succès,-1
sans substance,-0.6
sans sourire,-1
sans souci,-1
sans sommeil,-1
sans scrupules,-1
sans scrupules,-0.5
sans s'excuser,-0.6
sans risque,0.8
sans risque,1
sans réserve,-0.5
sans réponse,-0.6
sans remords,-1
sans remords,-1
sans relâche,-0.4
sans raison,-1
sans problème,1
sans problème,1
sans précédent,1
sans pitié,-1
sans pitié,-1
sans pitié,-0.6
sans pitié,-0.5
sans peur,1
sans papiers,-0.6
sans option,-0.8
sans nom,-0.25
sans merde,-1
sans méfiance,-0.5
sans licence,-0.5
sans le sou,-1
sans intérêt,-1
sans instruction,-0.8
sans inspiration,-0.5
sans incidents,-0.1
sans importance,-0.5
sans gut,-1
sans gracieux,-0.6
sans gêne,-0.4
sans fondement,-0.6
sans fondement,-0.5
sans fondement,-0.5
sans fond,-0.25
sans foi ni loi,-1
sans fil,0.25
sans esprit,-0.5
sans espoir,-0.75
sans équivoque,0.5
sans équivoque,1
sans entrave,0.4
sans enthousiasme,-1
sans encombre,0.5
sans emploi,-0.8
sans emploi,-0.75
sans émotion,-0.6
sans égal,0.4
sans effort,0.8
sans effort,0.8
sans défense,-0.5
sans danger,0.25
sans crainte,0.8
sans couture,0.6
sans compromis,-0.6
sans complication,0.5
sans coeur,-0.5
sans clignoter,-0.4
sans charme,-0.6
sans but,-1
sans but,-0.5
sans bruit,1
sans aucun doute,0.5
sans amour,-1
sans amour,-0.6
sans âge,0.6
sans abri,-1
sanguine,0.6
sanguinaire,-0.5
sanglots,-0.8
sangloter,-1
sanglot,-1
sanglot,-0.5
sanglant,-1
sang,-0.5
sanctuaire,1
sanctionner,-0.25
sanction,-0.25
sanctifier,0.6
sanctifié,1
salutations,0.5
salutation,0.5
salutaire,0.5
salut,1
saluer,0.25
saluer,0.5
saluer,0.75
saluer,0.8
salopes,-0.75
salope,-1
salon,0.4
salive,-0.4
saleté pas cher,1
saleté,-0.75
saleté,-0.75
salace,-0.25
saisir,-0.8
saisies,-0.8
saisie,-0.6
saisi,-0.6
sainteté,1
sainteté,1
saint,0.25
sain,0.6
saillant,0.5
saigner,-0.5
saignement,-0.5
saigné,-1
saigne,-0.5
sagacité,0.6
safecracker,-0.25
sadique,-1
sacro-saint,0.6
sacrifié,-0.4
sacrifices,-0.4
sacerdotal,0.6
saccagé,-1
saccadé,-1
saccadé,-0.5
sac,-0.25
sabrer,-0.4
sabre,-0.25
sabots,-1
sabotage,-0.75
sabot,-0.6
sabordé,-0.6
sabordage,-0.6
s'opposer,-0.5
S'il vous plaît,1
s'excuser,0.8
s'excuser,0.8
s'excuse,0.8
s'évaporer,-0.25
s'étend,0.4
s'est excusé,0.8
s'est effondré,-0.8
s'enfuit,-1
s'emparer de,-0.5
s'efforcer,1
s'effondrer,-0.5
s'effondre,-0.8
s'échapper,-0.25
s'échappe,-0.25
s'écailler,-1
s'attarde,-0.4
s'aliéner,-1
s'aggrave,-1
rut,-0.6
ruses,-1
rusé,-1
rusé,-1
rusé,-1
ruse,-0.8
ruse,-0.5
ruptures,-0.5
rupture,-0.6
rupture,-0.6
rupture,-0.5
rumeurs,-0.6
rumeur,-0.25
ruineux,-0.5
ruineusement,-1
ruines,-0.5
ruiner,-0.75
ruiné,-0.75
rugueux,-0.25
rugosité,-0.25
rue,-0.5
rudement,-1
rremediable,-1
royalties,0.6
royalement,0.8
royal,0.75
roulement de tambour,0.6
rouille,-0.25
rougissant,-0.25
rougir,0.6
rosser,-0.8
rosé,0.5
rongeur,-0.6
ronger,-0.6
ronfler,-0.1
rompu,-0.6
rompre,-0.75
rompre,0.8
romantique,0.5
romantique,0.8
romance,0.5
roman,0.1
Roi,0.1
rock star,0.6
rock star,1
rocheux,-1
robuste,0.75
robotique,-0.25
rivetage,1
rivalité,-0.5
rivaliser,0.4
rival,-0.25
risqué,-0.5
risque,-0.75
risée,-0.8
rires,0.8
rire,0.5
rire,0.8
riptide,-0.25
ringard,0.25
rinçage,-0.4
rigueur,-0.25
rigoureux,0.1
rigoureusement,-0.6
rigoureusement,0.25
rigidité,-0.25
rigidité,-0.25
rigidité,-0.25
rigide,-0.75
rigide,-0.5
rigide,-0.25
ridicules,-1
ridiculement,-0.8
ridiculement,-0.8
ridicule,-0.75
ridicule,-0.75
ridicule,-0.5
ridé,-0.4
ride,-0.25
ricochet,-0.25
ricocher,-0.25
richesse,0.5
richesse,0.5
richesse,0.5
riches,0.5
riches,0.5
richement,0.5
ricer,-1
ricaner,-1
ricanement,-0.75
ri,0.8
rhumatisme,-1
rhétorique,-1
rhétorique,-0.25
rhapsodize,-1
révulsif,-1
révoquer,-0.75
revolver,-0.4
révolutionner,0.8
révolutionné,0.8
révolutionne,0.8
révolutionnaire,0.25
révolutionnaire,0.6
révolte,-0.5
révoltant,-0.5
révocation,-0.25
revitaliser,1
réviser,-0.25
rêveur,1
revers,-0.8
revers,-0.5
rêveries,0.6
rêverie,0.8
révérer,0.5
révérend,0.6
révéré,0.8
réverbère,-0.25
réverbération,-0.25
rêver,0.25
revenir,-0.5
revendeurs,-0.25
révélations,0.8
révélation,0.8
réussite,0.5
réussit,1
réussir,0.5
réussir,0.75
réussi,0.5
réussi,0.75
réunions,0.8
réunion,0.8
rets,-0.8
rétrograder,-0.8
rétréci,-0.5
retranchement,-0.4
retraité,-0.4
rétraction,-0.4
rétracter,-0.4
rétractable,1
retourné,-0.25
retour en arrière,-0.25
retoucher,-1
rétorque,-0.25
retirer,-0.25
retiré,-0.8
réticent,-0.5
réticence,-0.5
retenue,-0.5
retenue,-0.4
retenu,0.6
retentissant,0.6
retentir,0.6
rétention,0.4
retenir,-0.8
retards,-0.8
retards,-0.5
retardement,-0.8
retardé,-1
retardé,-0.5
retardé,-0.5
retarde,-0.8
retard,-1
retard,-0.75
retard,-0.75
rétablir,0.1
résultats,0.25
résultat,-0.25
restructurer,-0.25
