x,y
agilement,0.8000000000000002
agilité,0.75
agitation,-0.6999999999999998
agité,-0.5625
agneau,-1.0
agog,-0.25
agonie,-0.5
agonies,-1.0
agonisant,-1.0
agonise,-1.0
agonises,-1.0
agresseur,-0.75
agressif,-1.0
agression,-0.8333333333333334
agressions,-1.0
agressivement,-1.0
agressivité,-1.0
agressé,-1.0
agréabilité,1.0
agréable,0.65
agréablement,0.9499999999999998
aide,0.8000000000000002
aider,0.45
aidé,0.8000000000000002
aigrement,-0.8000000000000002
aigri,-0.5
aigu,-0.75
aimable,0.625
aimablement,0.9
aimant,0.575
aime,0.5
aimer,0.5
aimé,0.5
ajustable,0.4000000000000001
ajustements,0.4000000000000001
alarmant,-0.6750000000000002
alarme,-0.75
alarmiste,-0.6
alarmistes,-0.6
alarmé,-0.75
alcoolisme,-1.0
alcyon,0.8000000000000002
alerte,0.275
alimentation,0.6
aliments,0.4000000000000001
aliénation,-0.75
aliéner,-0.5
aliéné,-0.75
allay,0.6
allergie,-1.0
allergies,-0.5
allergique,-0.5
allez vous faire foutre,-1.0
allié,0.9
allègue,-0.6
allégation,-0.5
allégations,-0.8000000000000002
allégeance,0.5
allégement,1.0
alléger,0.25
allégresse,0.5
alléguer,-0.5
alléluia,1.0
aloha,0.4000000000000001
altercation,-0.75
altruiste,1.0
altéré,-0.8000000000000002
amabilité,1.0
amateur,0.25
ambigu,-0.5
ambiguïté,-1.0
ambitieusement,0.8000000000000002
ambitieux,0.5
ambition,0.6
ambitions,-0.25
ambivalence,-0.25
ambivalent,-0.5
ambroisie,0.4000000000000001
amen,0.6
amende,0.8000000000000002
amer,-0.5
amertume,-0.75
ami,0.8000000000000002
amical,0.625
amitié,-0.4000000000000001
amitiés,0.8000000000000002
amnistie,1.0
amnésie,-0.6
amortisseur,-0.5
amour,0.775
amoureuse,-0.25
amoureux,0.5
amours,1.0
amphétamines,-0.4000000000000001
ample,1.0
amplement,1.0
amputer,-1.0
amputé,-1.0
amusant,0.65
amusement,0.5
amusements,0.25
amuser,0.75
amusé,0.5
amèrement,-1.0
amélioration,1.0
améliore,0.8000000000000002
améliorer,0.625
amélioré,1.0
aménité,0.25
anal,-0.6
analphabète,-0.5
analphabétisme,-1.0
analyser,0.25
analyste,0.25
anaphylactique,-0.8000000000000002
anarchie,-0.5
anarchisme,-0.5
anarchiste,-0.65
anathème,-1.0
ancien,0.25
ancêtre,0.25
anecdotes,0.4000000000000001
ange,0.5
angers,-1.0
angine,-0.25
angoissant,-1.0
angoisse,-1.0
angoisses,-1.0
angoissé,-1.0
angélique,0.75
animalier,-0.8000000000000002
animation,0.25
animosité,-0.75
animus,-0.4000000000000001
animé,0.4000000000000001
annihilation,-0.5
annihiler,-0.5
annihilé,-1.0
anniversaire,0.8000000000000002
annulation,-0.25
annule,-0.8000000000000002
annuler,-0.525
annulé,-0.6000000000000001
anomalie,-0.5
anonymat,-0.25
anormal,-0.375
antagonisme,-0.5
antagoniste,-0.75
anti,-1.0
anti blanc,-1.0
anti israëlien,-1.0
anti social,-1.0
anti-américain,-1.0
anti-occupation,-1.0
anti-prolifération,-1.0
anti-sémites,-1.0
antibiotiques,0.4000000000000001
anticipant,-0.25
anticipation,0.25
antidote,0.8000000000000002
antipathie,-0.5
antique,0.25
antiseptique,0.4000000000000001
antisocial,-1.0
antithèse,-0.6
antithétique,-0.4000000000000001
antsy,-0.8000000000000002
antéchrist,-1.0
antédiluvien,-0.4000000000000001
anxieusement,-1.0
anxieux,-0.75
anxiété,-1.0
anémique,-1.0
apaisant,0.7833333333333333
apaisements,0.6
apaiser,0.6166666666666667
apaisé,0.5
apathie,-1.0
apathique,-0.7000000000000001
apeshit,-0.8000000000000002
apiculteur,0.25
aplomb,0.8000000000000002
apocalypse,-1.0
apocalyptique,-0.5
apologiste,-0.4000000000000001
apologistes,-0.4000000000000001
apologétique,0.6
apothéose,0.8000000000000002
apparaissant,0.25
apparence,-0.4000000000000001
applaudi,0.525
applaudir,0.65
applaudissement,0.5
applaudissements,0.5
applaudit,0.5
apprendre,0.8000000000000002
apprentissage,0.8000000000000002
approbation,0.8000000000000002
approchable,1.0
approfondi,1.0
approfondissement,-0.25
appropriation,-0.4000000000000001
approprié,1.0
approuvant,1.0
approuve,1.0
approuver,0.5
approuvé,0.75
appréciable,0.8000000000000002
appréciant,0.875
appréciation,0.75
apprécie,0.75
apprécier,0.65
apprécié,0.75
appréhender,-0.8000000000000002
appréhension,-0.75
appréhensions,-1.0
appréhensivement,-1.0
apprêt,0.4000000000000001
appât,-1.0
apte,0.5
aptitude,0.525
aptitudes,0.6
aqueux,-0.25
arbitraire,-0.5
arbitre,0.4000000000000001
arcade,0.6
archaïque,-0.5
archive,0.25
ardemment,0.4000000000000001
ardent,0.5
ardeur,0.75
ardu,-0.6
argent,0.6
argent attaché,-1.0
argument,-0.8000000000000002
argumentatif,-0.5
aride,-0.25
aristocratique,-0.25
arme de poing,-0.25
arme à feu,-1.0
armes de poing,-0.4000000000000001
armes à feu,-0.6
armoires,0.4000000000000001
arnaque,-0.5
arraché,-0.6000000000000001
arrestations,-0.6
arrière,-0.75
arrière-goût,-0.4000000000000001
arriération,-0.8000000000000002
arrogance,-0.5
arrogant,-0.75
arrosé,-0.25
arrérages,-0.8000000000000002
arrêt,-0.43333333333333335
arrêter,-0.5
arrêtez,-0.4000000000000001
arrêts,-0.4000000000000001
arrêté,-0.45
arsenic,-1.0
art,0.6
articulation,0.25
articuler,0.5
artificiel,-0.25
artillerie,-0.6
artisan,0.55
artisanalement,-1.0
artisanat,0.65
artisans,0.6
artiste,0.6
artistique,0.6
as,0.8000000000000002
ascendant,0.10000000000000002
ascension,0.65
asinely,-1.0
asinininité,-1.0
asperser,-1.0
aspersion,-1.0
aspersions,-0.6
asphyxié,-1.0
aspiration,0.5
aspirations,0.8000000000000002
aspirer,0.5
aspiré,-0.25
assaillir,-0.55
assassin,-0.5
assassinat,-0.5
assassinats,-1.0
assassiner,-0.75
assassins,-1.0
assassiné,-1.0
assaut,-1.0
assclown,-1.0
assemblé,0.25
assemblée,0.25
assentiment,0.4000000000000001
asservissement,-0.4000000000000001
assez,-0.25
assfucking,-1.0
asshat,-1.0
assignation,-0.375
assignations,-0.8000000000000002
assistance,0.8000000000000002
assistant,0.8000000000000002
assister,-0.25
assiégeant,-0.6
assiéger,-0.8000000000000002
assoiffé,-0.25
assombri,-0.5
assombrir,-0.5
assorti,0.25
assoupli,0.6
assourdissant,-1.0
assouvir,-0.5
assujettissement,-0.75
assurance,0.5
assurances,0.8000000000000002
assure,0.8000000000000002
assurer,0.7333333333333334
assuré,0.8000000000000002
assurément,0.8000000000000002
astringent,-0.4000000000000001
astronaute,0.4000000000000001
astucieusement,0.0
astucieux,0.3
asymétriquement,-0.4000000000000001
athlète,0.6
athlétique,0.5
athéisme,-0.10000000000000002
atours,0.6
atout,0.20000000000000004
atroce,-0.6666666666666666
atrocement,-0.5
atrocité,-0.5
atrocités,-0.5
atrophie,-0.5
attache,-0.25
attaquant,-0.6
attaque,-0.75
attaquer,-0.5
attaques,-0.5
attaqué,-1.0
atteindre,0.9
attend,-0.25
attendez,-0.25
attendre,-0.04999999999999999
attendu,-0.25
attentat à la pudeur,-0.75
attente,0.25
attentif,0.5
attention,-0.125
atterré,-1.0
attirant,0.7666666666666666
attire,0.8000000000000002
attirer,0.6999999999999998
attiré,0.35000000000000003
attraction,1.0
attractions,0.8000000000000002
attrayant,0.5
attribué,0.5
attrister,-0.75
attristé,-1.0
atténuation,-0.25
atténué,-0.25
au cas où,-0.25
au courant,0.6
au cœur dur,-1.0
au dessus de la moyenne,1.0
au hasard,-0.75
aubaine,0.65
aube,0.55
aucune idée,-0.5
audace,-0.375
audacieusement,-0.25
audacieux,0.25
audible,0.25
audicieusement,-1.0
augmente,0.4000000000000001
augmenter,0.21666666666666667
austère,-0.5
austérité,-0.6
auteur,-0.5
authenticité,0.10000000000000002
authentique,0.5
auto-destructeur,-0.25
auto-défait,-0.625
auto-détermination,1.0
auto-satisfaction,1.0
auto-suffisant,1.0
autocrate,-1.0
autocratique,-0.5
autonome,0.6
autopsie,-0.6
autorisation,0.6000000000000001
autorisé,0.6
autoritaire,-0.65
autorité,0.5
autosuffisance,1.0
auxiliaire,-0.25
avalanche,-0.5
avance,0.8000000000000002
avancement,1.0
avances,0.10000000000000003
avancée,0.75
avant toute chose,0.4000000000000001
avant-garde,0.25
avantage,0.75
avantages,0.9375
avantageusement,1.0
avantageux,0.5
avare,-0.9375
avarice,-0.5
avaricieusement,-1.0
avec acharnement,-1.0
avec arrogance,-0.8000000000000002
avec audace,1.0
avec bonheur,1.0
avec charme,1.0
avec chauffeur,0.25
avec colère,-0.5
avec confiance,0.8000000000000002
avec curiosité,0.4000000000000001
avec droiture,0.6
avec défi,-0.4000000000000001
avec désinvolture,-1.0
avec enthousiasme,0.8000000000000002
avec ferveur,0.25
avec frénésie,-0.8000000000000002
avec humour,0.8000000000000002
avec hésitation,-0.4000000000000001
avec malveillance,-1.0
avec mépris,-0.75
avec pessimisme,-1.0
avec profit,0.8000000000000002
avec prudence,-1.0
avec précision,0.6
avec ravissement,0.625
avec regret,-1.0
avec remords,-1.0
avec respect,1.0
avec révérence,1.0
avec scepticisme,-0.8000000000000002
avec sollicitude,-0.8000000000000002
avec succès,1.0
avec suffisance,-1.0
avec véhémence,-0.25
avec éloquence,0.8000000000000002
avec élégance,0.8000000000000002
aventure,0.5
aventures,0.25
aventureux,0.875
aver,1.0
averse,-0.5
aversion,-0.5
averti,-0.5
avertir,-0.5
avertissements,-0.5
avertisseur,-1.0
avertit,-0.25
aveuglant,-0.8000000000000002
aveugle,-0.7833333333333333
aveuglément,-1.0
aveux,-0.25
avide,-0.025000000000000026
avidement,0.8000000000000002
avilir,-0.8000000000000002
avilissant,-1.0
avilissement,-0.8000000000000002
avocat,0.17499999999999996
avocats,0.6
avortement,-0.8000000000000002
avorter,-0.5
avorté,-0.8000000000000002
avoue,-0.25
avouer,-0.5
avènement,0.8000000000000002
awesomeness,1.0
awol,-0.8000000000000002
axes,-0.25
axé,-0.6
aïeux,0.4000000000000001
babil,-0.25
babillage,-0.5
babiller,-0.5
bac à légumes,1.0
bachelier,0.6
backaching,-1.0
backwater,-0.4000000000000001
backwood,-1.0
bactérie,-0.6
baffle,-0.6
bafflement,-0.6
bafouer,-0.8000000000000002
bagatelle,-0.10000000000000002
bagatelles,-0.8000000000000002
baise,-0.6
baiser,0.5
baiser de la mort,-1.0
baiseurs,-1.0
baisser le prix,-0.8000000000000002
baissier,-1.0
baisée,-0.8000000000000002
bal de promo,0.6
balbutier,-0.6
balle,-0.5
ballet,0.6
bamboozled,-0.25
bamboozles,-0.25
banal,-0.4625000000000001
banaliser,-0.6999999999999998
bancal,-0.8000000000000002
bandage,-0.25
bandit,-0.9
banni,-0.9166666666666666
bannir,-0.75
bannissement,-0.5
banquet,0.6
banshee,-0.25
baragouiner,-1.0
barbare,-0.8000000000000002
barbarie,-1.0
barbarisme,-1.0
barbillon,-0.25
barboter,-0.25
barrages,-0.25
barrages routiers,-0.25
barricade,-0.6
barrière,-0.5
barré,-0.5
bas prix,0.8666666666666667
basculer,-0.25
basse qualité,-1.0
bassesse,-1.0
bastion,-0.25
bataille,-0.5
batailles,-0.6
bats toi,-0.5
battement,-0.16666666666666666
battements,-0.6
battre,-0.4000000000000001
battre en retraite,-0.75
battu,-0.75
batty,-1.0
baume,0.6
bavard,-0.625
bavarder,-0.25
baver,-0.25
baveux,-0.6
bazar,-0.25
baïonnette,-0.6
beau,0.8874999999999998
beauté,0.75
beautés,0.25
beckeck,0.6
beckons,0.6
becquet,-0.8000000000000002
befuddled,-0.6
belle,0.6
belligérance,-1.0
belligérant,-0.5
belligérante,-1.0
belliqueux,-0.525
berceau,0.6999999999999998
berceuse,0.8000000000000002
bercé,0.8000000000000002
berger,0.25
best-seller,0.8000000000000002
best-sellers,0.8000000000000002
bestial,-0.5
beuverie,0.10000000000000002
biais,-0.875
biaisé,-0.9
biding,-0.25
bien,0.575
bien accueilli,1.0
bien arrondi,1.0
bien comporté,1.0
bien connecté,1.0
bien connu,1.0
bien considéré,1.0
bien courir,1.0
bien en chair,0.25
bien fait,1.0
bien géré,1.0
bien informé,0.8666666666666667
bien intentionné,1.0
bien maniéré,1.0
bien positionné,1.0
bien reçu,1.0
bien rétro-éclairé,1.0
bien sympathisants,1.0
bien éduqué,1.0
bien élevé,1.0
bien équilibré,1.0
bien établi,1.0
bien-être,1.0
bienfaisant,0.5
bienfaiteur,0.75
bienheureux,0.75
bienveillance,0.5
bienveillant,0.75
bienvenue,0.5
bigot,-1.0
bigoterie,-1.0
bijou,0.6
bijoux,0.6
bile,-0.5
bilingue,0.4000000000000001
biologique,0.4000000000000001
biopsie,-0.6
bizarre,-0.6
bizarrement,-0.8000000000000002
bizarreries,-0.10000000000000002
blabber,-0.8000000000000002
blabla,-0.5
blague,0.425
blagues,0.6
blaireau,-0.5
blanc,0.4000000000000001
blancheur,0.4000000000000001
blanchi,0.4000000000000001
blanchir,-0.25
blasphème,-0.5
blasphémateur,-1.0
blasphématoire,-0.5
blasphémer,-0.5
blasé,-0.8000000000000002
blesser,-0.75
blessure,-0.625
blessures,-1.0
blessé,-0.75
blindé,0.5
bloc,-0.4000000000000001
blocage,-0.5
blocs,-0.6
blocus,-0.6
bloque,-0.25
bloqué,-0.4000000000000001
blotti,0.8000000000000002
blowhards,-0.8000000000000002
bluffer,-0.4000000000000001
blâmable,-1.0
blâmer,-1.0
blâmé,-0.5
blé à moudre,-0.25
boggle,-1.0
bogues,-1.0
bois de retour,-1.0
boisé,0.25
boiteux,-0.5
bombarder,-0.5
bombardiers,-0.5
bombardé,-1.0
bombé,-0.25
bon sang,-1.0
bondé,-0.6
bonheur,0.75
bonne affaire,0.75
bonté,1.0
bonus,0.8000000000000002
bosse,-0.75
bosselé,-0.6
bosses,-1.0
boucher,-0.5
boucherie,-0.8000000000000002
bouché,-0.625
boucle,-0.625
bouder,-1.0
boudeur,-1.0
boudé,-1.0
boue,-0.4166666666666667
boueux,-0.25
bouffée,-0.25
bouger,-0.4000000000000001
bouillir,-0.6
boule de feu,-0.25
bouleversant,-0.9
bouleversé,-0.6
bourdonnant,-1.0
bourdonnement,-1.0
bourdonner,0.25
bourgeonné,0.4000000000000001
bourrasque,-1.0
bourreau,-0.6000000000000001
bourru,-0.6750000000000002
bourré,-1.0
bourse d'études,0.8000000000000002
bousculer,-0.6
bousilleur,-0.8000000000000002
bout,-0.25
bouton,-0.25
braconnage,-1.0
brailler,-0.8000000000000002
branché,0.10000000000000002
branler,-0.25
brevet,0.25
brillant,0.5666666666666668
briser,-0.5
briseur de coeur,-0.25
briseur de maison,-1.0
brisé,-0.55
brouillard,-1.0
brouiller,-0.3333333333333333
brouillé,-0.25
broyage,-0.5
broyer du noir,-0.5
bruit,-1.0
brume,-0.25
brumes,-1.0
brumeux,-0.6999999999999998
brunt,-0.6
brusque,-0.525
brusquement,-0.25
brusquerie,-1.0
brut,-0.75
brutal,-0.75
brutalement,-1.0
brutaliser,-1.0
brutalité,-0.75
brutalités,-1.0
brute,-0.6833333333333332
bruyant,-0.75
brûlant,-0.4875
brûle,-0.4000000000000001
brûler,-0.5
brûlure,-1.0
brûlures d'estomac,-0.8000000000000002
brûlé,-0.7000000000000001
bs,-1.0
buggy,-1.0
bulletin de vote,0.25
bullshyt,-1.0
bummer,-0.5
bumper,-1.0
bumping,-1.0
bungle,-0.8000000000000002
buste,-0.25
bustes,-0.25
butin,-0.5
butting,-0.6
byzantin,-1.0
bâillement,-0.25
bâillonné,-0.5
bâtards,-0.75
bâtiment,0.10000000000000002
bébé,0.6
bégaie,-0.6
bégaiement,-0.55
bégayer,-0.6
bégayé,-0.6
béni,1.0
bénin,0.25
bénir,1.0
bénit,0.8000000000000002
bénédiction,0.75
bénédictions,0.5
bénéficiaire,0.5
bénéficiant,1.0
bénéficié,1.0
bénéfique,0.75
bénévole,0.8000000000000002
bêche,-1.0
bête,-0.65
bêtement,-0.9333333333333332
bêtises,-0.5
c'est comme,0.0
c'est noté,0.6
cacher,-0.6
cachette,-0.4000000000000001
caché,-0.375
cacophonie,-0.25
cadavre,-0.6
cadeau,0.5
cadeaux,0.8000000000000002
cage,-0.6
cagnotte,1.0
cahoteux,-0.5
caillot,-0.4000000000000001
cajoler,0.375
calamiteusement,-1.0
calamiteux,-1.0
calamité,-1.0
calamités,-1.0
calcul,0.25
calculateur,-0.25
caleçon,-0.25
calibré,0.25
calleux,-0.8000000000000002
calmant,0.5
calme,0.8874999999999998
calmé,1.0
calomniateur,-1.0
calomnie,-0.8249999999999998
calomnier,-0.5833333333333334
calomnies,-1.0
calomnieusement,-1.0
calomnieux,-1.0
calomnié,-1.0
calé,-0.4000000000000001
camarade,0.8000000000000002
camaraderie,0.9
cambriolage,-1.0
cambrioleur,-1.0
camping,0.10000000000000002
campus,0.25
camées,0.4000000000000001
canard boiteux,-0.625
cancer,-0.75
cancéreux,-1.0
candidat,0.25
candide,0.6
cannabis,-0.25
cannibale,-0.5
cannibalement,-1.0
cannibaliser,-1.0
cannibalisme,-1.0
canon,-0.325
canular,-1.0
capable,0.5
capacités,0.25
capituler,-0.6
caprice,-0.325
caprices,0.4000000000000001
capricieusement,-0.4000000000000001
capricieux,-0.2666666666666667
capteurs,-0.6
captif,-0.5
captivant,0.5
captiver,0.8333333333333334
captivité,-0.6
captivé,0.4000000000000001
capturer,-0.6
capuche,-0.25
caqueter,-1.0
caractère impitoyable,-1.0
caractère superficiel,-0.25
caractère vindicatif,-0.5
caractéristique riche,1.0
carat,0.4000000000000001
carburants,0.25
carcasse,-1.0
carence,-0.5
caressant,0.8000000000000002
caresse,0.9
caresser,0.625
caressé,0.4000000000000001
caricature,-0.75
carnage,-0.75
carpe,-1.0
carrières,0.25
cartel,-0.25
cartoon,-1.0
cartouche,-0.25
cascade,-1.0
cashback,0.8000000000000002
cashbacks,1.0
casino,-0.25
casse-croûte,0.4000000000000001
cassé,-0.8000000000000002
caste,-0.25
castré,-1.0
cataclysme,-1.0
cataclysmique,-1.0
cataclysmiquement,-1.0
cataracte,-0.6
catastrophe,-0.75
catastrophique,-0.75
catastrophiquement,-1.0
cathartique,1.0
cathéter,-0.6
catégorique,-1.0
catégoriquement,-1.0
cauchemar,-0.75
cauchemardesque,-0.25
cauchemars,-1.0
caustique,-1.0
caverne,-0.25
caverneux,-0.4000000000000001
cavité,-0.4000000000000001
ce qui concerne,1.0
ceindre,-0.25
cellulaire,0.25
cendre,-0.4000000000000001
cendres,-0.4000000000000001
censeurs,-0.8000000000000002
censurer,-0.5
censuré,-0.8000000000000002
centre,0.25
cercueil,-0.425
certificat,0.6
certitude,0.8000000000000002
cessation,-0.4000000000000001
cesser,-0.6
chagrin,-1.0
chagriné,-1.0
chahut,-0.8000000000000002
chahuteurs,-0.8000000000000002
chahuté,-0.8000000000000002
chair de poule,-0.8000000000000002
chaleur,0.5
chaleureusement,0.75
chaleureux,1.0
chamaillerie,-0.5
chambres,0.25
champ de bataille,-0.6
champignon,-0.6
champion,0.75
chance,0.25
chancelé,-0.6
chances,0.25
chanceux,0.875
chancre,-1.0
chantage,-0.5
chanter,0.6
chaos,-0.8000000000000002
chaotique,-0.75
charabia,-0.5
charade,-0.25
charge,-0.75
charger son rôle,-0.25
chargé,-0.5
charismatique,1.0
charisme,1.0
charitable,0.5
charité,0.8000000000000002
charmant,0.9166666666666666
charme,0.7166666666666668
charnel,-0.4000000000000001
charnu,-0.25
chasse,-0.25
chaste,1.0
chasteté,0.25
chaton,0.10000000000000002
chatouillement,0.6
chatouiller,0.75
chatouillé,0.6
chatoyant,0.6
chatte,-0.875
chattes,-1.0
chaud,0.125
chauve,-0.4000000000000001
chavirer,-1.0
chaîne,-0.25
cheats,-0.75
chef,0.25
chef de clan,0.25
chefs-d'œuvre,0.75
chenu,-0.6
cher,-0.08333333333333333
chevaleresque,0.8000000000000002
chevalerie,1.0
chevalier,0.6
chic,0.6750000000000002
chien de garde,-0.25
chienne,-1.0
chiennes,-0.5
chier,-0.8000000000000002
chiffons,-0.25
chintzy,-0.8000000000000002
chloroforme,-0.6
choc,-0.75
chocolat,0.6
chocs,-0.4000000000000001
choisi,0.6
choix,0.4000000000000001
cholestérol,-0.25
choléra,-0.25
choquant,-0.75
choqué,-0.5
choral,0.4000000000000001
chorale,0.4000000000000001
chouette,0.5
choyer,1.0
choyé,0.45
chronique,-0.5
chuchotements,-0.4000000000000001
chute,-0.625
chute de cheveux,-0.25
chute de la mâchoire,1.0
chutes,-0.25
chuté,-0.8000000000000002
châtier,-0.7999999999999999
châtiment,-0.5
châtié,-1.0
chèrement,0.5
chéri,0.6666666666666666
chérir,0.75
chérit,1.0
chérubin,0.6
chômage,-0.6
cicatrice,-0.5
cicatrisé,-1.0
cieux,0.8000000000000002
cigarette,-0.25
cimetière,-0.5
cinglant,-1.0
cinglé,-1.0
cirque,0.10000000000000002
citron,-1.0
civil,0.8000000000000002
civilisation,0.6
civiliser,0.25
civilisé,1.0
civilité,0.75
clair,0.5
clairement,0.5
clameur,-0.5
claquant,-0.4000000000000001
claque,-0.5
claquer,-0.75
claques,-0.25
clarifie,0.8000000000000002
clarifier,0.8000000000000002
clarté,0.65
classer,0.4000000000000001
classique,0.55
classiques,0.8000000000000002
classé,0.4000000000000001
claudication,-0.8000000000000002
claustrophobe,-1.0
cliché,-0.5
cligner des yeux,0.6
cligné,0.6
climax,0.8000000000000002
clin d'oeil,0.6
clinquant,0.6
clique,-0.5
cliqué,-0.6
clochard,-0.3
cloque,-0.5
cloques,-0.5
clubbed,-0.25
clubhouse,0.6
clunky,-0.4000000000000001
clé,-0.5
clé de voûte,0.6
clérical,-0.25
coagulation,-0.4000000000000001
coalition,0.10000000000000002
cocaïne,-0.25
cochonneries,-0.5
cocu,-0.8000000000000002
coercitif,-1.0
coercition,-0.5
coexister,0.8000000000000002
coffrage,-0.6
cognitif,0.4000000000000001
cognoscenti,0.25
cohérence,0.10000000000000002
cohérent,0.775
cohésif,0.5
coin,-0.25
coincé,-0.525
coliques,-0.25
collant,-1.0
collations,0.4000000000000001
collectif,-0.25
collectivement,0.10000000000000002
coller,-0.25
collision,-0.375
collisions,-0.25
collusion,-0.6
colmatage,-0.6
colombe,0.25
colonne vertébrale,1.0
coloré,0.6
colporteur,-0.5
colère,-0.6875
colérique,-1.0
coma,-1.0
comateux,-1.0
combat,-0.6
combatif,-0.5
combats,-0.6
combattant,-0.6
combattre,-0.75
comique,0.5
commencement,0.6
commentateur,0.25
commet,-0.25
commettre,-0.13333333333333333
commodité,0.5
commodément,0.8000000000000002
commotion cérébrale,-1.0
commotions,-0.6
commuer,-0.25
communautaire,-0.25
communauté,0.6
communicatif,0.6
communion,0.6
communiquer,0.6
communisme,-0.25
